pagkadto , pagkad-toe
abierto , abierto
kabubwason , kah bub wah son
pagtukdaw , pag tuk daw
tarabitaban , tah rah bi tah ban
paglagipik , pag lah gi pik
bug-os nga kasingkasing , bug-os nga kah sing kah sing
buwang , buh wang
dalan , dah lan
makarit , mah kah rit
pagsabak , pag sah bak
awas , ah was
kugon , ku gon
distruso , dis tru so
bakayaw , bah kah yaw
pasalugsogan , pah sal ug so gahn
duruongan , duh ru o ngan
piyer , piyer
karat-an , kah rat an
pagkawara-sarig , pag kah wara sarig
destino , destino
kapalaran , kah pah lah ran
diri makikalugaringon , diri makikah lu gah ri ngon
salbahi , sal-bah-hi
madaparap , mah-dah-pah-rap
diri matuod , diri mah-tu-od
diri eksato , diri eksakto
dulom , dulom
madurungog , mah-du-ru-ngog
pasangil , pah-sangil
paghunahuna , pag-huna-huna
pagruhaduha , pag-ruha-duha
pag-api , pag-ahpo
kaul-ol , kah-ul-ol
madismayo , mah-dis-mah-yo
panuigon , pag-nu-i-gon
susbaranan , sus-bah-rah-nan
tul-id , tul-id
pagtigi , pag-ti-gi
sirot , sirot
sintas , sintas
kalagiw , kah-lah-giw
ginlalaoman , gin-lah-lah-o-mahn
pukol , pukol
organisasyon , orgah-ni-sahs-yon
kadayonan , kah-dah-yo-nan
marka , marka
pamati , pah-mah-ti
paglarga , pag-lar-ga
mabiritbit , mah-bi-rit-bit
abot , abot
husto , husto
bantok , bantok
premyo , premyo
pagkamang , pag-kah-mang
pagpirdi , pag-pirdi
pagalinghod , pag-aling-hod
timbi , timbi
trabaho , trabaho
diri pwede , diri pwede
pagtanggal , pag-tang-gal
pagdulot , pag-duu-lot
pagpukaw , pag-pu-kaw
surubdan , surub-dan
sugad , su-gad
tampak , tampak
pagtultog , pagtultog
pagdisturbo , pag-disturbo
pagpadag , pag-pah-dag
maestra , ma-estra
huagabos , hu-ah-gah-bos
baga , bah-ga
ginugutom , ginu-gu-tom
pagpahot , pag-pah-hot
paglanat , pag-lah-nat
ulang , u-lang
pruyba , pruy-bah
pagpawhas , pag-paw-has
diri importanti , diri im-por-tan-ti
pag-ayat , pag-ah-yat
patubtoban , pah-tub-toh-ban
pagkisi , pag-ki-si
masulub-on , mah-su-lob-on
hangat , hah-ngat
pagtugol , pag-tu-gol
kamamatan , kah-mah-mah-tan
pagkarinyo , pag-kah-rin-yo
diri mabarahin , diri mah-bah-rah-hin
bahin , bah-hin
kinto , kinto
paaliday , pah-ah-li-dahy
pagrangka , pag-rang-ka
lubnganan , lub-ngah-nan
pagtirimpo , pag-ti-rim-po
pagsimhot , pag-sim-hot
panlimos , pan-li-mos
paubsanon , pah-ub-sah-non
palsipikado , pal-si-pi-kah-do
hingpit nga ideya , hingpit nga ideya
labaw , lah bahw
kabaliktaran , kah-bah-lik-tah-ran
gusto , gusto
banug , bah-nug
pagsumpay , pag-sum-pay
lirikduan , li-rik-du-ahn
pagkuskos , pag-kus-kos
supak han balaud , supak han bah-lah-ud
politika , poli-tika
pagdungog , pag-du-ngog
ibi , ibi
kawang , kawang
pagpahibaro , pag-pa-hi-baro
pagpasagdan , pag-pa-sag-dan
paghinambog , pag-hinam-bog
busog , bu-sog
pagkontrolar , pag-kon-tro-lar
pag-obserba , pag-ob-ser-ba
pagdesider , pag-de-si-der
pagpiit , pag-pi-it
pagharampag , pag-haram-pang
pagsab-it , pag-sab-it
pagluwa , pag-luwa
pagtanom ha hunahuna , pag-ta-nom ha huna-huna
pag-istorya , pag-is-tor-ya
pagkawil , pag-kah-wil
pag-isip , pag-i-sip
paghupol , pag-hu-pol
pagkabalik , pag-kah-bah-lik
pag-luok , pag-lu-ok
paghimos , pag-hi-mos
pagbali-waray , pag-bah-li-wa-rha-aye
mailiw , mah-i-liw
diri pag-asi , diri pag-ah-si
kapag-ad , kah-pag-ad
uhong , u-hong
lihok , li-hok
pagkaurit , pag-kah-u-rit
kahamtongan , kah-ham-to-ngan
kainahanglanon , kah-inah-hang-lah-non
akos , ah-kos
makangingirhat , mah-kah-ngi-ngir-hat
kapikaw , kah-pi-kaw
papliton , pap-li-ton
kalkag , kahl-kahg
kaluwasan , kah-lu-wah-san
pag-karkulo , pag-kahr-ku-lo
dawdaw , daw-daw
aton kalugaringon , aton kah-lu-gah-ri-ngon
saliko , sah-li-ko
balanghoy , bah-lang-hoy
kopya , kopya
kamurayaw , ka-mu-ra-yaw
kaharani , ka-ha-ra-ni
mag-pareho , mag-pah-re-ho
pamilyar , pah-mil-yahr
kariton , kah-ri-ton
puplunganon , pup-lu-ngah-non
tupad , tu-pad
pangigot , pangi-got
may rason , may rah-son
mag-asawa , mag-ah-sahwa
makaranas , makah-rah-nas
pagkitkit , pahg-kit-kit
bantugan , bahn-tu-gahn
paagi , pah-ah-gi
tinugkopan , tinug-ko-pahn
pag-angkap , pag-ahng-kahp
pagtukal , pag-tuh-kal
talon , tah-lon
gutiay nga uding , gu-ti-ahy nga u-ding
pag-away , pag-ah-way
diri nakaasya , diri nah-kah-asya
pag-untong , pag-un-ton
pagbaktas , pag-bahk-tas
paglalaktan , pag-lah-lahk-than
pagpalta , pag-pal-ta
hin duro , hin duro
mag-aga nga pag-bantay , mag-agah nga pag-ban-tay
bintol , bin-tol
agian , ahgi-ahn
huros , huros
uyag , uyahg
pagtilaw , pag-ti-lahw
paglatub , apag-lah-tub
pagpahalaba , pag-pah-hah-lah-ba
paglibre , pag-lib-re
uyon han balaud , uyon han bah-lah-ud
diri impas , diri impahs
kalipayon , kah-li-pah-yon
diri largo , diri lahr-go
talwas , tal-was
bumalik , bu-mah-lik
malaksi , mah-lahk-si
pag-paimportanti , pag-pah-im-por-tan-ti
paglaglag , pag-lag-lag
madagmit , ma-dag-mit
lamrag , lam-rag
pagsakingking , pag-sa-king-king
paggimaw , pag-gi-mahw
pangamuyo , pah-nga-mu-yo
paglayog , pag-lah-yog
hinaut , hi-nah-ut
mahadara , mah-hah-dah-rah
maanga , mah-ahnga
agsub , ahg-sub
maringbit , ma-ring-bit
pagrayhak , pag-ray-hak
malandaw , ma-lan-daw
matahom , ma-ta-hom
malubay , ma-lu-bay
pagdihog , pag-di-hog
pag-lubas , pag-lu-bas
pag-uli , pag-u-li
pagtimpo , pag-tim-po
pagkalat , pag-ka-lat
pagsugat , pag-su-gat
pagbunak , pag-bun-dak
pagsalbar , pag-sal-bar
pagtigaman , pag-ti-ga-man
pag-angkon , pag-ang-kon
pagmolestya , pag-mo-les-tya
pagyakan , pag-ya-kan
paghugar , pag-hu-gar
pagparukot , pag-pa-ru-kot
pagtuboy , pag-tu-boy
ginikanan , gi-ni-kah-nan
maaringabngab , mah-ah-ri-ngab-ngab
bahol , ba-hol
pag-himangraw , pag-hi-mang-raw
masirom , ma-si-rom
haraniay , ha-ra-ni-ay
pagparigo , pag-pa-ri-go
masanag , ma-sa-nag
pagbutnga , pag-but-nga
pagsurog-surog , pag-su-rog-su-rog
surundanon , surun-da-non
paglibak , pag-li-bak
pag-maneho , pag-ma-ne-ho
mangaranop , manga-ra-nop
alok , ah-lok
maniwang , mani-wang
pag-inaw , pag-i-naw
paratintar , pa-ra-tin-tar
waray pulos , waray pu-los
malagay , mah-lah-gay
arag , ah-rahg
hiluag hin duro , hi-lu-ag hin duro
makugi gud , ma-ku-gi gud
mapintas , ma-pin-tas
hamtong , ham-tong
tigurang , ti-gu-rang
lanyog , lan-yog
baga hin nanay , baga hin nanay
nuruniyan , nuru-ni-yan
pag-pungot , pag-pu-ngot
pagpaurit , pag-pa-u-rit
mikrobyo , mik-rob-yo
nawong , nah-wong
panumpa , pa-num-pa
masinahon , ma-si-na-hon
pag-ikag , pag-i-kag
mabidoon , ma-bhi-do-on
kursunada , kur-su-na-da
pugita , pu-gi-ta
makapoy , ma-ka-poy
hanin , ha-nin
pag-himugso , pag-hi-mug-so
kaburut-on , ka-bu-rut-on
unob , u-nob
pahibaro , pah-hi-barp
napwesto , nah-pwesto
pagdumara , pag-du-mah-rah
tagpalakat , tag-pa-la-kat
kahapnig , ka-hap-nig
pagturun-an , pag-tu-run-an
waray-waray , waray-waray
pagguyod , pag-gu-yod
pagsulabi , pag-su-lah-bi
salana , sa-la-na
salipod , sa-li-pod
pagpakaon , pag-pa-ka-on
nakuha , nah-ku-ha
pag-alaswerti , pag-alas-werti
pag-aberiya , pag-ah-beri-ya
tapos , tapos
pag-agwanta , pag-ag-wan-ta
paglagapak , pag-laga-pak
pagbalik , pag-ba-lik
kathuraw , kat-hu-raw
presko , pres-ko
paglibog , pag-li-bog
miki , miki
tupong , tu-pong
amo la gihapon , amo la gi-ha-pon
lumalabay , luma-la-bay
paghulog , pag-hu-log
pagpuo , pag-pu-no
abaniko , a-ba-ni-ko
pagwaydong , pag-wahy-dong
diri tuod , diri tu-od
kagis , ka-gis
pilya , pil-ya
pinakamaupay , pinaka-ma-u-pay
pinakahitaas , pinaka-hi-taas
itarabon , i-ta-ra-bon
bungto , bung-to
pagpahugpoy , pag-pa-hug-poy
pagkausa , pag-ka-usa
pagraugdaug , pagh ra og da og
paghinis , pag-hi-nis
gahi , gah-hi
pagsulod , pag-su-lod
pagkamkam , pag-kam-kam
pagkaruskos , pag-ka-rus-kos
masupilon , ma-su-pi-lon
upa , upa
sugang , su-gang
kadaan , ka-da-an
dumay , du-may
pangita , pangi-ta
kabug-os , ka-bug-os
uma , uma
balatian , bala-ti-an
malipong , mali-pong
pag-antos , pag-an-tos
kibido , ki-bi-do
sukli , suk-li
pagtudol , pag-tu-dol
rumol , ru-mol
pagsupak , pag-su-pak
magil-ad , ma-gil-ad
mismo ngahaw , mismo nga-haw
palakpak , pa-lak-pak
himaratyan , hi-ma-rat-yan
maabugho , ma-abug-ho
kadesidido , ka-de-si-di-do
pagtalinguha , pag-ta-li-ngu-ha
siplat , sip-lat
sulhog , sul-hog
matarantar , ma-ta-ran-tar
pasundayag , pa-sun-da-yag
pagpautang , pag-pa-u-tang
pagbasol , pag-ba-sol
paghuni , pag-hu-ni
pag-angbit , pag-ang-bit
paghingod-hingod , pag-hi-ngod-hi-ngod
pag-alagad , pag-ala-gad
sibo , si-bo
sandag , san-dag
pagsipa , pag-si-pa
paralista , para-lis-ta
tabon , ta-bon
daplin , dap-lin
lantugi , lan-tu-gi
pagwagsing , pag-wag-sing
pakigbingkil , pakig-bing-kil
paghinubya , pag-hi-nub-ya
toril , to-ril
pulo , pu-lo
sirino , siri-no
pagmakmak , pag-mak-mak
human , hu-man
kuno-kuno , kuno-kuno
teksto , teks-to
pagtutok , pag-tu-tok
pagtabog , pag-ta-bog
pagtiaw , pag-ti-aw
tabang , tabang
waray hunong , waray hu-nong
magturupong , mag-tu-ru-pong
listahan , lista-han
paghinayon , pag-hi-na-yon
uga , uga
paghakhak , pag-hak-hak
pag-palahan , pag-pa-la-han
pag-aghat , pag-ag-hat
kaatbang , ka-at-bang
luta , lu-ta
tulapos , tu-la-pos
turundogan , turun-do-gan
pagliwat , pag-li-wat
katapusan , ka-ta-pu-san
pagsanib , pag-sa-nib
pag-sugay , pag-su-gay
paglupaglupog , pag-lupag-lupog
pagdiri , pag-di-ri
pagsugmat , pag-su-mat
una , una
duwendi , du-wen-di
intiendehan , intien-de-han
singgit , sing-git
wait , wa-it
panginano , pangi-na-no
pagsudyot , pag-sud-yot
daogan , da-o-gan
paghuman , pag-hu-man
waray gamit , waray ga-mit
waray katapusan , waray ka-ta-pu-san
waray katanding , waray ka-tan-ding
diri angay , diri a-ngay
tambulig , tam-bu-lig
pinulongan , pi-nu-longan
manggad , mang-gad
kapoy , kapoy
libong , libong
pagyaag , pag-ya-ag
pagpakiana , pag-paki-ana
pagsunlog , pag-sun-log
magdaraog , mag-da-ra-og
katubtuban , ka-tub-toban
pagtapos , pag-ta-pos
waray bali , waray bali
waray katubtoban , waray ka-tub-toban
waray katupong , waray ka-tu-pong
diri igo , diri igo
bulig , bulig
yinaknan , yi-nak-nan
pagkupkop , pag-kup-kop
bahandi , ba-han-di
guol , gu-ol
paggakos , pag-ga-kos
barisbisan , baris-bi-san
pagyatak , pag-ya-tak
pagtalumpigos , pag tah lum pee gus
baho , bah ho
turumbanon , tu rumbanon
tuluojan , tu lu o han
